player,position,team,birth_year,passes_completed,passes,assists
Randal Kolo Muani,FW,France,1998,25,44,0
Raphaël Guerreiro,DF,Portugal,1993,156,185,2
Raphaël Varane,DF,France,1993,256,286,0
Raphinha,FW,Brazil,1996,111,150,1
Rasmus Nissen,DF,Denmark,1997,137,179,0
Raúl Jiménez,FW,Mexico,1991,20,32,0
Remo Freuler,MF,Switzerland,1992,127,154,0
Renato Steffen,FW,Switzerland,1991,13,15,0
Ricardo Horta,FW,Portugal,1994,31,46,0
Ricardo Rodríguez,DF,Switzerland,1992,164,229,0
Richarlison,FW,Brazil,1997,40,58,0
Richie Laryea,DF,Canada,1995,35,47,0
Riley McGree,FW,Australia,1998,57,75,1
Ritsu Doan,FW,Japan,1998,36,56,0
Riyadh Sharahili,MF,Saudi Arabia,1993,14,17,0
Roan Wilson,MF,Costa Rica,2002,4,4,0
Robert Lewandowski,FW,Poland,1988,61,91,1
Robert Skov,DF,Denmark,1996,17,21,0
Roberto Alvarado,FW,Mexico,1998,5,10,0
Rodri,DF,Spain,1996,642,689,0
Rodrigo Bentancur,MF,Uruguay,1997,136,160,0
Rodrigo De Paul,MF,Argentina,1994,470,562,0
Rodrygo,MF,Brazil,2001,91,113,1
Rogelio Funes Mori,FW,Mexico,1991,0,0,0
Romain Saïss,DF,Morocco,1990,159,199,0
Romario Ibarra,MF,Ecuador,1994,10,14,0
Romelu Lukaku,FW,Belgium,1993,6,9,0
Roozbeh Cheshmi,DF,IR Iran,1993,7,11,0
Ruben Vargas,FW,Switzerland,1998,80,117,1
Rubin Colwill,MF,Wales,2002,2,4,0
Ró-Ró,DF,Qatar,1990,78,108,0
Rónald Matarrita,DF,Costa Rica,1994,18,29,0
Rúben Dias,DF,Portugal,1997,248,274,0
Rúben Neves,MF,Portugal,1997,235,257,0
Saad Al Sheeb,GK,Qatar,1990,18,20,0
Sadegh Moharrami,DF,IR Iran,1996,18,26,0
Saeid Ezatolahi,MF,IR Iran,1996,66,88,0
Saleh Al-Shehri,FW,Saudi Arabia,1993,29,47,0
Salem Al-Dawsari,MF,Saudi Arabia,1991,86,111,0
Salis Abdul Samed,MF,Ghana,2000,129,145,0
Salman Al-Faraj,MF,Saudi Arabia,1989,12,16,0
Sam Adekugbe,DF,Canada,1995,63,71,0
Saman Ghoddos,MF,IR Iran,1993,15,20,0
Sami Al-Najei,MF,Saudi Arabia,1997,13,21,0
Samuel Oum Gouet,MF,Cameroon,1997,52,59,0
Sardar Azmoun,FW,IR Iran,1995,18,30,0
Saud Abdulhamid,DF,Saudi Arabia,1999,88,122,0
Saša Lukić,MF,Serbia,1996,143,162,0
Sebastian Szymański,MF,Poland,1999,26,41,0
Sebastián Coates,DF,Uruguay,1990,76,93,0
Selim Amallah,MF,Morocco,1996,65,87,0
Serge Gnabry,FW,Germany,1995,86,118,1
Sergej Milinković-Savić,MF,Serbia,1995,87,120,0
Sergio Busquets,MF,Spain,1988,261,289,0
Sergio Rochet,GK,Uruguay,1993,54,78,0
Sergiño Dest,DF,United States,2000,172,200,1
Shaquell Moore,DF,United States,1996,14,21,0
Shogo Taniguchi,DF,Japan,1991,72,85,0
Shūichi Gonda,GK,Japan,1989,68,113,0
Silvan Widmer,DF,Switzerland,1993,127,169,1
Simon Kjær,DF,Denmark,1989,50,59,0
Sofiane Boufal,FW,Morocco,1993,99,133,0
Sofyan Amrabat,MF,Morocco,1996,269,322,0
Son Heung-min,FW,Korea Republic,1992,77,115,1
Son Jun-ho,MF,Korea Republic,1992,55,59,0
Sorba Thomas,MF,Wales,1999,3,4,0
Srđan Babić,DF,Serbia,1996,10,16,0
Stefan Mitrović,DF,Serbia,1990,18,21,0
Stephen Eustáquio,MF,Canada,1996,83,93,0
Steve Mandanda,GK,France,1985,19,31,0
Steven Berghuis,MF,Netherlands,1991,97,131,1
Steven Bergwijn,FW,Netherlands,1997,64,72,0
Steven Vitória,DF,Canada,1987,160,186,0
Strahinja Pavlović,DF,Serbia,2001,121,156,0
Sultan Al-Ghanam,DF,Saudi Arabia,1994,34,52,0
Taha Yassine Khenissi,FW,Tunisia,1992,2,6,0
Tajon Buchanan,MF,Canada,1999,61,89,1
Takefusa Kubo,FW,Japan,2001,6,11,0
Takehiro Tomiyasu,DF,Japan,1998,73,103,0
Takuma Asano,FW,Japan,1994,21,28,0
Takumi Minamino,FW,Japan,1995,14,22,0
Tarek Salman,DF,Qatar,1997,7,10,0
Tariq Lamptey,DF,Ghana,2000,21,34,0
Teun Koopmeiners,MF,Netherlands,1998,90,119,1
Theo Hernández,DF,France,1997,289,339,2
Thiago Almada,MF,Argentina,2001,13,13,0
Thiago Silva,DF,Brazil,1984,322,344,1
Thibaut Courtois,GK,Belgium,1992,108,123,0
Thilo Kehrer,DF,Germany,1996,22,29,0
Thomas Delaney,MF,Denmark,1991,24,29,0
Thomas Meunier,DF,Belgium,1991,110,147,0
Thomas Müller,FW,Germany,1989,56,78,0
Thomas Partey,MF,Ghana,1993,146,176,0
Thorgan Hazard,FW,Belgium,1993,40,58,0
Tim Ream,DF,United States,1987,245,276,0
Timothy Castagne,DF,Belgium,1995,176,202,0
Timothy Weah,FW,United States,2000,90,108,0
Toby Alderweireld,DF,Belgium,1989,248,273,1
Trent Alexander-Arnold,DF,England,1998,21,23,0
Tyler Adams,MF,United States,1999,241,271,0
Unai Simón,GK,Spain,1997,150,160,0
Uriel Antuna,FW,Mexico,1997,12,20,0
Vanja Milinković-Savić,GK,Serbia,1997,90,125,0
Victor Nelsson,DF,Denmark,1998,69,74,0
Vincent Aboubakar,FW,Cameroon,1992,20,31,1
Vincent Janssen,FW,Netherlands,1994,16,20,0
Vinicius Júnior,FW,Brazil,2000,68,90,2
Virgil van Dijk,DF,Netherlands,1991,311,356,0
Vitinha,MF,Portugal,2000,100,108,0
Wahbi Khazri,FW,Tunisia,1991,13,20,0
Wajdi Kechrida,DF,Tunisia,1995,44,69,0
Walid Cheddira,FW,Morocco,1998,4,8,0
Walker Zimmerman,DF,United States,1993,217,244,0
Wataru Endo,MF,Japan,1993,155,192,0
Wayne Hennessey,GK,Wales,1987,50,66,0
Weston McKennie,MF,United States,1998,117,153,0
William Carvalho,MF,Portugal,1992,156,170,0
William Saliba,DF,France,2001,37,37,0
Wojciech Szczęsny,GK,Poland,1990,84,142,0
Wout Weghorst,FW,Netherlands,1992,9,15,0
Wéverton,GK,Brazil,1987,3,5,0
Xavi Simons,FW,Netherlands,2003,6,10,0
Xherdan Shaqiri,FW,Switzerland,1991,67,104,1
Yahya Attiat Allah,DF,Morocco,1995,98,137,1
Yahya Jabrane,MF,Morocco,1991,,,0
Yann Sommer,GK,Switzerland,1988,108,118,0
Yannick Carrasco,FW,Belgium,1993,39,46,0
Yasser Al-Shahrani,DF,Saudi Arabia,1992,13,29,0
Yassine Bounou,GK,Morocco,1991,154,209,0
Yassine Meriah,DF,Tunisia,1993,139,171,0
Yeltsin Tejeda,MF,Costa Rica,1992,78,99,1
Youri Tielemans,MF,Belgium,1997,53,64,0
Youssef En-Nesyri,FW,Morocco,1997,50,81,0
Youssef Msakni,MF,Tunisia,1990,50,69,0
Youssouf Fofana,MF,France,1999,96,112,0
Youssouf Sabaly,DF,Senegal,1993,189,219,0
Youssoufa Moukoko,FW,Germany,2004,1,2,0
Youstin Salas,DF,Costa Rica,1996,15,19,0
Yuki Soma,FW,Japan,1997,11,19,0
Yunus Musah,MF,United States,2002,151,182,0
Yuto Nagatomo,MF,Japan,1986,78,109,0
Zakaria Aboukhlal,FW,Morocco,2000,7,14,0
Álvaro Morata,FW,Spain,1992,28,41,1
Álvaro Zamora,MF,Costa Rica,2002,5,5,0
Ángel Correa,MF,Argentina,1995,3,3,0
Ángel Di María,MF,Argentina,1988,130,168,1
Ángelo Preciado,DF,Ecuador,1998,94,129,1
Éder Militão,DF,Brazil,1998,251,277,0
Óscar Duarte,DF,Costa Rica,1989,68,98,0
İlkay Gündoğan,MF,Germany,1990,150,168,0
